Date;Time;Severity;From;Line;Message
2016/11/30;16:40:31.900;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/30;16:40:32.545;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2016/11/30;16:40:32.632;DEBUG;cfg-proc.cpp;382;"Chequeando Configuracion en: 192.168.0.212:9999..."
2016/11/30;16:40:33.789;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2016/11/30;16:40:33.802;ERROR;cfg-proc.cpp;403;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:9999. "
2016/11/30;16:40:36.884;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C03"
2016/11/30;16:40:36.911;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/30;16:40:40.881;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C03"
2016/11/30;16:40:40.908;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/30;16:40:43.727;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2016/11/30;16:40:43.814;DEBUG;cfg-proc.cpp;382;"Chequeando Configuracion en: 192.168.0.212:9999..."
2016/11/30;16:40:44.968;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2016/11/30;16:40:44.981;ERROR;cfg-proc.cpp;403;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:9999. "
2016/11/30;16:40:45.958;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C03"
2016/11/30;16:40:45.971;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/30;16:40:50.973;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C03"
2016/11/30;16:40:51.003;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/30;16:40:54.882;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2016/11/30;16:40:54.976;DEBUG;cfg-proc.cpp;382;"Chequeando Configuracion en: 192.168.0.212:9999..."
2016/11/30;16:40:56.080;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C03"
2016/11/30;16:40:56.131;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/30;16:40:56.154;ERROR;cfg-proc.cpp;403;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:9999. "
